kind,label,rows,seconds,rows_per_sec
node,Customer,3000000,63.65,47135.0
node,Account,4000000,55.31,72314.0
node,Transaction,6000000,69.88,85859.0
node,Address,3000000,33.11,90606.0
node,Phone,2000000,18.88,105949.0
node,Email,2000000,18.73,106767.0
node,Card,2000000,21.96,91061.0
node,Device,4000000,41.27,96929.0
node,SessionLog,6000000,60.18,99709.0
node,Document,1000000,11.52,86813.0
node,Beneficiary,500000,4.81,103854.0
node,Loan,300000,3.19,94138.0
node,Investment,200000,2.06,97252.0
node,Employer,50000,0.75,66772.0
node,Merchant,30000,0.51,58833.0
node,Branch,2000,0.26,7573.0
node,Campaign,500,0.28,1779.0
node,Product,100,0.24,421.0
node,Channel,20,0.24,83.0
node,Country,250,0.23,1107.0
node,Currency,50,0.22,225.0
node,RiskRating,5,0.24,21.0
rel,HAS_ACCOUNT,3000000,260.67,11509.0
rel,HAS_ADDRESS,3000000,272.82,10996.0
rel,HAS_PHONE,2000000,179.2,11161.0
rel,HAS_EMAIL,2000000,180.51,11080.0
rel,HAS_DOCUMENT,1000000,91.19,10966.0
rel,HAS_DEVICE,2000000,179.93,11116.0
rel,HAS_CARD,1500000,137.68,10895.0
rel,LIVES_IN,2000000,168.87,11844.0
rel,WORKS_FOR,1000000,93.87,10653.0
rel,RATED_AS,2000000,171.72,11647.0
rel,IN_CAMPAIGN,500000,42.8,11681.0
rel,HAS_TRANSACTION,5000000,445.78,11216.0
rel,AT_BRANCH_ACCT,2000000,168.33,11882.0
rel,IN_CURRENCY_ACCT,2000000,161.55,12380.0
rel,FOR_PRODUCT,2000000,161.83,12358.0
rel,HAS_BENEFICIARY,400000,36.04,11098.0
rel,LINKED_TO,500000,48.98,10209.0
rel,AT_MERCHANT,2500000,236.52,10570.0
rel,VIA_CHANNEL_TXN,3000000,239.48,12527.0
rel,IN_COUNTRY_TXN,2000000,161.03,12420.0
rel,IN_CURRENCY_TXN,3000000,244.34,12278.0
rel,USED_CARD,1500000,140.03,10712.0
rel,USED_DEVICE_TXN,1500000,138.09,10862.0
rel,AT_BRANCH_CARD,1000000,85.6,11682.0
rel,FOR_CUSTOMER_LOAN,250000,28.52,8767.0
rel,AT_BRANCH_LOAN,250000,21.1,11846.0
rel,HELD_BY,150000,12.82,11705.0
rel,FOR_CUSTOMER_SES,3000000,307.13,9768.0
rel,VIA_DEVICE_SES,3000000,271.25,11060.0
rel,VIA_CHANNEL_SES,3000000,237.76,12618.0
rel,ADDR_IN_COUNTRY,1500000,137.67,10896.0
rel,PHONE_IN_COUNTRY,1000000,91.86,10886.0
rel,VERIFIED_BY,500000,46.64,10720.0
TOTAL,all,93132925,5609.11,16604.0
