kind,label,rows,seconds,rows_per_sec
node,Customer,3000000,86.56,34660.0
node,Account,4000000,51.1,78271.0
node,Transaction,6000000,72.12,83197.0
node,Address,3000000,34.43,87138.0
node,Phone,2000000,22.49,88946.0
node,Email,2000000,21.12,94715.0
node,Card,2000000,23.47,85217.0
node,Device,4000000,48.59,82323.0
node,SessionLog,6000000,66.48,90252.0
node,Document,1000000,13.24,75533.0
node,Beneficiary,500000,5.65,88459.0
node,Loan,300000,10.86,27631.0
node,Investment,200000,3.76,53168.0
node,Employer,50000,1.04,48191.0
node,Merchant,30000,0.56,53307.0
node,Branch,2000,0.31,6398.0
node,Campaign,500,0.27,1836.0
node,Product,100,0.27,372.0
node,Channel,20,0.25,79.0
node,Country,250,0.26,952.0
node,Currency,50,0.24,205.0
node,RiskRating,5,0.24,21.0
rel,HAS_ACCOUNT,3000000,320.17,9370.0
rel,HAS_ADDRESS,3000000,299.01,10033.0
rel,HAS_PHONE,2000000,190.33,10508.0
rel,HAS_EMAIL,2000000,213.56,9365.0
rel,HAS_DOCUMENT,1000000,109.55,9128.0
rel,HAS_DEVICE,2000000,201.51,9925.0
rel,HAS_CARD,1500000,146.68,10226.0
rel,LIVES_IN,2000000,177.76,11251.0
rel,WORKS_FOR,1000000,97.0,10309.0
rel,RATED_AS,2000000,194.81,10266.0
rel,IN_CAMPAIGN,500000,45.3,11037.0
rel,HAS_TRANSACTION,5000000,524.97,9524.0
rel,AT_BRANCH_ACCT,2000000,189.34,10563.0
rel,IN_CURRENCY_ACCT,2000000,174.67,11450.0
rel,FOR_PRODUCT,2000000,171.86,11637.0
rel,HAS_BENEFICIARY,400000,37.2,10752.0
rel,LINKED_TO,500000,51.63,9684.0
rel,AT_MERCHANT,2500000,224.55,11134.0
rel,VIA_CHANNEL_TXN,3000000,245.51,12219.0
rel,IN_COUNTRY_TXN,2000000,188.74,10597.0
rel,IN_CURRENCY_TXN,3000000,246.2,12185.0
rel,USED_CARD,1500000,145.2,10331.0
rel,USED_DEVICE_TXN,1500000,156.23,9601.0
rel,AT_BRANCH_CARD,1000000,80.86,12367.0
rel,FOR_CUSTOMER_LOAN,250000,33.33,7501.0
rel,AT_BRANCH_LOAN,250000,21.24,11770.0
rel,HELD_BY,150000,16.6,9037.0
rel,FOR_CUSTOMER_SES,3000000,337.53,8888.0
rel,VIA_DEVICE_SES,3000000,286.42,10474.0
rel,VIA_CHANNEL_SES,3000000,252.59,11877.0
rel,ADDR_IN_COUNTRY,1500000,158.18,9483.0
rel,PHONE_IN_COUNTRY,1000000,88.08,11353.0
rel,VERIFIED_BY,500000,48.66,10276.0
TOTAL,all,93132925,6138.59,15172.0
